

Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:00.390
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN
?               |11087|CABLE AUDIO/VIDEO HIGH-GRADE GOLD 3-RCA 1-VIDEO 2-AUDIO 6'      |HG3RCA6'        |   $9.00|EACH    |  10
?               |13248|CABLE AUDIO/VIDEO V1.4 HDMI M-M 10'                             |HDMI-10'        |   $7.95|EACH    |  12
?               |13249|CABLE AUDIO/VIDEO V1.4 HDMI M-M 20'                             |HDMI-20'        |  $11.95|EACH    |   5
1368-A-36       | 9767|CABLE BANANA TO BANANA 10" STACKING 2 EACH RED-YEL-BLU-BLK-WHT  |36" BANANA      |  $19.95|EACH    |   0
?               |10156|CABLE BANANA TO BANANA STACKABLE 36" BLACK                      |BAN-BAN-BLK     |   $3.00|EACH    |   6
B-36-0          |14046|CABLE BANANA TO BANANA STACKABLE 36" BLACK  POMONA #B-36-0      |B-36-0          |   $6.95|EACH    |   0
?               |10157|CABLE BANANA TO BANANA STACKABLE 36" RED                        |BAN-BAN-RED     |   $3.00|EACH    |  10
B-36-2          |14047|CABLE BANANA TO BANANA STACKABLE 36" RED  POMONA #B-36-2        |B-36-2          |   $6.95|EACH    |   0
?               |11692|CABLE BNC MALE TO DUAL BANANA                                   |BNC-BANANA      |   $5.95|EACH    |  12
2249-Y-36       |14043|CABLE BNC MALE-MALE RG223 50OHM DBL-SHIELDED POMONA #2249-Y-36 3|2249-Y-36       |  $26.84|EACH    |   0
?               | 5005|CABLE BNC RG6 75-OHM MOLDED MALE-MALE 6'                        |BNC1            |   $4.00|EACH    |   8
?               |12857|CABLE BULK CAT5E DIRECT BURIAL W/WATERPROOF TAPE BLACK          |CAT5E-UF-B      |   $0.22|FOOT    |   0
ECC-5           | 1824|CABLE CLAMP 1/2" NYLON                                          |ECC-5           |   $0.25|EACH    |  52
ECC-4           | 1821|CABLE CLAMP 1/4" NYLON (4/16")                                  |ECC-4           |   $0.06|EACH    | 443
ECC-2           | 1819|CABLE CLAMP 1/8" NYLON                                          |ECC-2           |   $0.07|EACH    | 226
ECC-3           | 1820|CABLE CLAMP 3/16" NYLON                                         |ECC-3           |   $0.06|EACH    | 317
??              |10233|CABLE CLAMP 3/4" NYLON                                          |CC-3/4"         |   $0.35|EACH    |   4
ECC-4           | 1823|CABLE CLAMP 3/8" NYLON                                          |ECC-4           |   $0.10|EACH    | 960


Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:00.649
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN

ECC-4           | 1822|CABLE CLAMP 5/16" NYLON                                         |ECC-4           |   $0.10|EACH    | 665
??              |10232|CABLE CLAMP 5/8" NYLON                                          |CC-5/8"         |   $0.30|EACH    |  10
??              |10230|CABLE CLAMP 7/16" NYLON                                         |CC-7/16         |   $0.20|EACH    |   7
??              |10231|CABLE CLAMP 9/16" NYLON                                         |CC-9/16         |   $0.25|EACH    |   2
??              | 5523|CABLE CLAMP ADHESIVE BACKED ADJ. LOCKING 1" BUNDLE DIAMETER BLAC|CABLE-CLAMP-1"  |   $0.80|EACH    |  59
?               |15900|CABLE CLAMP ADHESIVE BACKED ADJ. LOCKING 1" BUNDLE DIAMETER BLAC|CABLE-CLAMP1"A  |   $1.00|EACH    |  46
KKL-8RT         |12488|CABLE CLAMP ADHESIVE BACKED LOCKING 1/2" BUNDLE DIAMETER        |CLAMP-LKG-1/2"  |   $0.60|EACH    |  35
KKL-4RT         |13984|CABLE CLAMP ADHESIVE BACKED LOCKING 1/4" BUNDLE DIAMETER        |CLAMP-LKG-1/4"  |   $0.50|EACH    |  27
MS21919WDG6     |12564|CABLE CLAMP METAL SURE-GRIP W/NEOPRENE CUSHION 3/8"             |3/8"CLAMP       |   $1.43|EACH    |   3
?               |15971|CABLE CLIP CORD GRIP ADHESIVE-BACKED 1-1/16"-DIAMETER           |CABLE-CLIP-ADH  |   $0.75|EACH    |  36
8218            | 8159|CABLE COAX 75 OHM  27 AWG STRANDED 20.5PF/FT  120.9 OHM/MI      |8218            |   $0.75|FOOT    | 112
8700            | 5853|CABLE COAX MINI 32 OHN 28 AWG SOLID 55.2PF/FT 68.5 OHM/MI       |8700            |   $0.55|FOOT    |   0
9907            | 5845|CABLE COAX NETWORK THINNET 20 AWG STRANDED 10 BASE-2 NON-PLENUM |9907            |   $0.75|FOOT    | 784
89907           | 5846|CABLE COAX NETWORK THINNET 20 AWG STRANDED 10 BASE-2 PLENUM     |89907           |   $0.35|FOOT    |   0
89907           | 5847|CABLE COAX NETWORK THINNET 20 AWG STRANDED 10 BASE-2 PLENUM SPOO|89907           | $299.48|SPOOL   |   0
8216            | 5776|CABLE COAX RG174/U 50 OHM 26AWG STRANDED  30.8PF/FT  97.0 OHM/MI|CABLE-RG174     |   $0.40|FOOT    | 863
8267            |13336|CABLE COAX RG213/U 50-OHM IMP. 13AWG STRANDED .405" DIAMTER     |RG213           |   $2.00|FOOT    | 200
8240-1000       | 5842|CABLE COAX RG58 50 OHM 20 AWG SOLID 29.9PF/FT                   |8240            |   $0.60|FOOT    | 772
8219-1000       | 5841|CABLE COAX RG58 50 OHM 20 AWG STRANDED 26.5PF/FT                |8219            |   $0.18|FOOT    |   0
9223            | 5844|CABLE COAX RG58 50 OHM 22 AWG STRANDED LOW NOISE 37PF/FT        |9223            |   $0.71|FOOT    |   0
8219-1000       | 5843|CABLE COAX RG58 54-OHM-IMP. 20 AWG STRANDED                     |8219            |   $0.75|FOOT    | 642
9059C           | 5851|CABLE COAX RG59 75 OHM 18 AWG SOLID 16.2PF/T BROADBAND          |RG59-SOLID      |   $0.40|FOOT    | 576
9259U1000       | 5850|CABLE COAX RG59 75 OHM 22 AWG STRANDED 17.3PF/FT 15.0 OHM/MI    |9259            |   $0.60|FOOT    | 167
92074-46-08     |16012|CABLE COAX RG59 95% SHIELD 20AWG SOLID 1000' SPOOL              |RG59-SOLID-1K   | $228.02|SPOOL   |   0
?               | 5848|CABLE COAX RG6/U 75 OHM PVC JACKET BLACK                        |RG6             |   $0.20|FOOT    | 950
?               |12422|CABLE COAX RG6/U PVC JACKET QUAD-SHIELD 75OHM                   |RG6             |   $0.25|FOOT    |1000
8254            | 5854|CABLE COAX RG62 93 OHM 22 AWG SOLID 13.5PF/FT 55.0 OHM/MI       |8254            |   $1.00|EACH    | 250
?               |15059|CABLE COMPONENT VIDEO /STEREO 5-RCA 3-VIDEO 2-AUDIO 12'         |COMP-AV12'      |  $14.95|EACH    |   3
?               |12366|CABLE COMPONENT VIDEO /STEREO 5-RCA 3-VIDEO 2-AUDIO 6'          |COMP-AV6'       |  $11.95|EACH    |   5
?               |12984|CABLE COMPONENT VIDEO 3-VIDEO RCA 3'                            |COMP3-3'        |   $5.95|EACH    |   5
?               |13869|CABLE COMPONENT VIDEO 3-VIDEO RCA 6'                            |COMP3-6'        |   $7.95|EACH    |   1
CN2525MF        | 8873|CABLE COMPUTER  DB25M-F 6' NULL MODEM 9 WIRE                    |2525            |   $5.00|EACH    |   1
?               |11847|CABLE COMPUTER (SATA) SERIAL ATA 150 INTERNAL CABLE 7P-7P 18"   |SERIAL-ATA-24   |   $3.00|EACH    |  10
P942-19I        |12891|CABLE COMPUTER (SATA) SERIAL ATA W/1 RIGHT ANGLE CONNECTOR 19"  |SATA19RA        |   $4.00|EACH    |  19
?               |14680|CABLE COMPUTER (SATA3) SERIAL ATA III W/1 RIGHT ANGLE CONN. 18" |SATA3-RA-18"    |   $2.00|EACH    |  34
?               |14679|CABLE COMPUTER (SATA3) SERIAL ATA III W/1 RIGHT ANGLE CONN. 36" |SATA3-RA-36"    |   $4.00|EACH    |   3
CP2506          | 9951|CABLE COMPUTER 25 DB M- 36 CENTRONICS 6 FT                      |25M-CEN36 6'    |   $5.97|EACH    |   1
1812L           | 9705|CABLE COMPUTER 25 DB M-LEFT ANGLE 36 CENTRONICS 12FT            |1812L           |   $4.49|EACH    |   1
45-213-BU       | 6013|CABLE COMPUTER 25 DB M-RT ANGLE 36CENTRONICS 10FT               |45-213-BU       |   $5.98|EACH    |   3
SCSI3-25-03     | 9556|CABLE COMPUTER 68M FAST WIDE SCSI3 TO DB25M 3'                  |SCSI68MDB25M3'  |  $14.92|EACH    |   3
SCSI3-25-06     | 9406|CABLE COMPUTER 68M FAST WIDE SCSI3 TO DB25M 6'                  |SCSI68M-DB25M   |  $25.00|EACH    |   1
?               |11239|CABLE COMPUTER ADAPTER ACTIVE PS/2 MOUSE & KEYBOARD TO USB      |PS/2-USB        |   $7.95|EACH    |   4
CJY             | 9193|CABLE COMPUTER ADAPTER Y JOYSTICK                               |CJY             |   $4.00|EACH    |   1
ERCDROM         |10030|CABLE COMPUTER AUDIO CDROM TO SOUND CARD UNIVERSAL              |CDROMU          |   $3.00|EACH    |   0
?               |13826|CABLE COMPUTER AUDIO/VIDEO DISPLAYPORT DP-M/DP-M 10'            |DP-10'          |  $14.95|EACH    |   3
?               |13825|CABLE COMPUTER AUDIO/VIDEO DISPLAYPORT DP-M/DP-M 6'             |DP-6'           |   $9.95|EACH    |  10
C3043           | 5011|CABLE COMPUTER C128 COMPUTER TO MONITOR                         |C3043           |  $18.00|EACH    |   1
136928          | 9349|CABLE COMPUTER CD-ROM/SOUND CARD 20" PANASONIC                  |CCDP            |   $4.95|EACH    |   1
???             |10736|CABLE COMPUTER CEN36 (B) TO CEN36HP (C) IEEE1284 10 FOOT        |CEN36-CEN36HP   |  $14.95|EACH    |   2
45-700-BU       | 5962|CABLE COMPUTER CENTRONICS 36PIN M-M 6FT                         |45-700-BU       |  $14.95|EACH    |   2
92013DAO        | 5959|CABLE COMPUTER DB25 TO M-36 DELTA 10FT                          |DB25M/C36M-10'  |   $4.98|EACH    |   4
??              |10370|CABLE COMPUTER DB25F-DB9M 6FT SERIAL                            |DB25F-DB9M      |   $5.00|EACH    |   3
???             | 9650|CABLE COMPUTER DB25M (A) TO CEN36 HALF-PITCH (C) IEEE1284 6FT   |DB25-CEN36HP    |  $15.95|EACH    |   1
?               | 5964|CABLE COMPUTER DB25M - DB9F 1FT SERIAL IBM AT & COMPATIBLE      |DB9F-DB25M      |   $7.95|EACH    |   1
CNL2525MM       | 9264|CABLE COMPUTER DB25M-DB25 LAPLINK (PC TO PC PARALLEL) LINES CROS|LAPLINK         |   $4.13|EACH    |   1
CN0925FM        | 9859|CABLE COMPUTER DB25M-DB9F 6FT NULL MODEM                        |9F25MNULL       |   $4.00|EACH    |   5
M2525           | 6016|CABLE COMPUTER DB25M-F 25FT                                     |45-375          |   $8.95|EACH    |   3
2510            | 5958|CABLE COMPUTER DB25M-M 25-WIRES 10'                             |DB25M/M-10'     |   $6.00|EACH    |   3
???             | 8904|CABLE COMPUTER DB25M-M RS232 15'                                |DB25M/M-15'     |   $6.50|EACH    |   3


Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:00.666
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN

CRM2525MM       | 9573|CABLE COMPUTER DB25M-M RS232 25'                                |2525MM          |   $8.95|EACH    |   4
CRSMM06B        | 8903|CABLE COMPUTER DB25M-M RS232 6'                                 |DB25M/M-6'      |   $5.00|EACH    |   3
?               |10952|CABLE COMPUTER DB37 M-F 6' 37 WIRES STRAIGHT THROUGH            |CABLEDB37M-F    |   $9.95|EACH    |   1
CN0925FF        | 9931|CABLE COMPUTER DB9F-DB25F NULL MODEM 6'                         |9F25FNULL       |   $4.00|EACH    |   2
?               | 9351|CABLE COMPUTER DB9FF 6' NULL MODEM                              |CDB9FFNULL      |   $4.00|EACH    |  12
?               | 6011|CABLE COMPUTER DB9M-DB9F 6FT SERIAL IBM AT & COMPATIBLE         |CAB-DB9MF6'     |   $4.00|EACH    |  13
?               |15221|CABLE COMPUTER DB9MF 15FT SERIAL                                |DB9MF15         |   $6.95|EACH    |   4
?               |10313|CABLE COMPUTER DB9MF 25FT SERIAL                                |DB9MF25         |  $11.95|EACH    |   2
?               |13438|CABLE COMPUTER DB9MF 50FT SERIAL                                |DB9MF50         |  $17.95|EACH    |   1
?               |12458|CABLE COMPUTER DB9MM 25FT SERIAL                                |DB9MM25         |   $7.95|EACH    |   1
?               |12817|CABLE COMPUTER ESATA EXTERNAL SERIAL ATA 3'                     |ESATA3          |   $5.95|EACH    |   5
G2LES306W6      |12818|CABLE COMPUTER ESATA EXTERNAL SERIAL ATA 6'                     |ESATA6          |   $6.95|EACH    |   3
?               |13063|CABLE COMPUTER ETHERNET CAT5E 100' RED SNAGLESS                 |CAT5E-100'RED   |  $19.00|EACH    |   0
?               |13966|CABLE COMPUTER ETHERNET CAT5E 25' SNAGLESS RED                  |CAT5E-25'-RED   |   $7.00|EACH    |   5
?               |13871|CABLE COMPUTER ETHERNET CAT5E 50' SNAGLESS RED                  |CAT5E-50'-RED   |  $10.00|EACH    |  16
?               |10960|CABLE COMPUTER ETHERNET CAT5E 7' RED                            |CAT5-7RED       |   $4.00|EACH    |   0
?               |11011|CABLE COMPUTER ETHERNET CAT5E 7' SNAGLESS                       |CAT5E-7'        |   $3.95|EACH    |  35
?               |12843|CABLE COMPUTER ETHERNET CAT6 1' SNAGLESS                        |CAT6-1'         |   $1.95|EACH    |  22
?               |11010|CABLE COMPUTER ETHERNET CAT6 100' SNAGLESS                      |CAT5E-100       |  $18.95|EACH    |   9
?               |11016|CABLE COMPUTER ETHERNET CAT6 15' SNAGLESS                       |CAT5E-15        |   $4.95|EACH    |  69
?               |13910|CABLE COMPUTER ETHERNET CAT6 150' SNAGLESS                      |CAT6-150        |  $19.95|EACH    |   2
?               |13418|CABLE COMPUTER ETHERNET CAT6 200' SNAGLESS BLUE                 |CAT5E-200       |  $24.95|EACH    |   5
?               |11048|CABLE COMPUTER ETHERNET CAT6 25' SNAGLESS                       |CAT6-25         |   $6.95|EACH    |  59
?               |14073|CABLE COMPUTER ETHERNET CAT6 25' SNAGLESS RED                   |CAT6-25'-RED    |   $9.95|EACH    |   0
?               |12599|CABLE COMPUTER ETHERNET CAT6 3' BOOTLESS RED                    |CAT5E-3'-RED    |   $2.95|EACH    |  77
?               |11066|CABLE COMPUTER ETHERNET CAT6 3' SNAGLESS                        |CAT5E-3'        |   $2.95|EACH    |  14
?               |15860|CABLE COMPUTER ETHERNET CAT6 3' SNAGLESS ORANGE                 |CAT6-ORANGE-3'  |   $2.95|EACH    |  30
?               |15861|CABLE COMPUTER ETHERNET CAT6 5' SNAGLESS ORANGE                 |CAT6-ORANGE-5'  |   $3.50|EACH    |  40
?               |10948|CABLE COMPUTER ETHERNET CAT6 50'                                |CAT6-50'        |   $9.95|EACH    |  22
?               |14078|CABLE COMPUTER ETHERNET CAT6 50'                                |CAT6-50FT       |  $13.95|EACH    |   0
?               |10176|CABLE COMPUTER HDB15M-HDB15F VGA VIDEO EXTENSION ECONOMY 15'    |VGAMF-15'       |   $5.00|EACH    |   0
???             | 8945|CABLE COMPUTER HDB15M-HDB15F VGA VIDEO EXTENSION ECONOMY 6'     |HDB15M-HDB15F   |   $3.00|EACH    |   0
???             | 9419|CABLE COMPUTER IDE RIBBON FLOPPY                                |CABLE FLOP      |   $2.09|EACH    |   0
???             | 9747|CABLE COMPUTER IDE TWO DEVICES 24"                              |IDE             |   $3.00|EACH    |   1
???             |10100|CABLE COMPUTER INTERNAL SCSI 3 HDB68 5 HEADS 3'                 |68HD 3' INTER   |  $14.87|EACH    |   1
KEC             | 5004|CABLE COMPUTER KEYBOARD EXTENSION FOR IBM                       |KEC             |   $9.95|EACH    |   2
CK0606FM        | 9709|CABLE COMPUTER KEYBOARD PS/2 EXTENSION MINI DIN 6M/F 6 FOOT     |0606FM          |   $2.00|EACH    |   2
45-815-BU       | 6052|CABLE COMPUTER MAC MINIDIN 8 M/F 10' SERIAL                     |45-815-BU       |   $6.00|EACH    |   0
?               | 6055|CABLE COMPUTER MAC MINIDIN 8 M/M 6' SERIAL                      |MINI-DIN8MM6'   |   $6.00|EACH    |   1
APEPTR6         | 6056|CABLE COMPUTER MAC+ MODEM MINI 8M TO DB25M 6'SERIAL DTE         |APC2(APEPTR6)   |   $7.00|EACH    |   3
MAC1            | 6058|CABLE COMPUTER MAC+ PRINTER MINI 8M TO DB25M 6' DCE             |MAC1            |   $7.00|EACH    |   1
EES1            | 6059|CABLE COMPUTER MINI 8M/DB25M 6' UNKNOWN USE                     |EES1            |   $7.75|EACH    |   1
?               | 5961|CABLE COMPUTER MODEM DB25M-DB9F 10FT                            |DB9F-DB25M-10   |   $5.00|EACH    |   1
EDDC425GY10T    | 6081|CABLE COMPUTER NETWORK 10-BASE T 25'                            |EDD-C425-GY-10  |   $9.80|EACH    |   0
C-C5-14STORB    |10958|CABLE COMPUTER NETWORK CAT5 14' ORANGE                          |CAT5-14ORG      |   $1.25|EACH    |   0
C-C5-14STBKB    |10964|CABLE COMPUTER NETWORK CAT5 15' BLACK                           |CAT5-14BLK      |   $1.25|EACH    |   0
C-C5-25STORB    |10959|CABLE COMPUTER NETWORK CAT5 25' ORANGE                          |CAT5-25ORG      |   $1.75|EACH    |   0
C-C5-ORST7      |10957|CABLE COMPUTER NETWORK CAT5 7' ORANGE                           |CAT5-7ORG       |   $0.75|EACH    |   0
?               |10961|CABLE COMPUTER NETWORK CAT5E 15' RED                            |CAT5-14RED      |   $5.00|EACH    |   2
?               |10962|CABLE COMPUTER NETWORK CAT5E 25' RED                            |CAT5E-25RED     |   $1.75|EACH    |   0
C5E-121BK-7FB   |10963|CABLE COMPUTER NETWORK CAT5E 7' BLACK                           |CAT5E-7BLK      |   $2.00|EACH    |   0
?               |10219|CABLE COMPUTER NETWORK ETHERNET CAT6 10' ORANGE                 |CAT6-10-ORANGE  |   $3.08|EACH    |   8
?               |11044|CABLE COMPUTER NETWORK ETHERNET CAT6 SNAGLESS 10'               |CAT6-10         |   $4.50|EACH    |  22
??              |10296|CABLE COMPUTER NETWORK PATCH 10/100BASE-T CAT5E CROSS-OVER 15'  |CAT5-15CO       |   $5.95|EACH    |   6
?               |12376|CABLE COMPUTER NETWORK PATCH 10/100BASE-T CAT5E CROSS-OVER 3'   |CAT5-3CO        |   $3.95|EACH    |   2
?               |12377|CABLE COMPUTER NETWORK PATCH 10/100BASE-T CAT5E CROSS-OVER 7'   |CAT5-7CO        |   $4.95|EACH    |  21
?               | 9353|CABLE COMPUTER POWER ADAPTER 3.5" FLOPPY DRIVE 4P-MOLEX TO 4P-FL|4P-MOLEX-4P-FL  |   $3.00|EACH    |   1
?               |12352|CABLE COMPUTER POWER ADAPTER IDE TO SATA 4P-15P SERIAL ATA 6"   |PWR-IDE-SATA    |   $2.00|EACH    |  16
?               |15927|CABLE COMPUTER POWER ADAPTER PCI FEMALE TO 8P-MALE 4"           |6P-8P PWR-ADAP  |   $4.95|EACH    |   4


Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:00.683
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN

PYO2LSATA       |15208|CABLE COMPUTER POWER ADAPTER SATA 15P Y SPLITTER 1-PLUG 2-RECEPT|SATA-POWER-Y    |   $7.95|EACH    |   9
?               | 9352|CABLE COMPUTER POWER Y SPLITTER 4P-MALE TO 2-4P-FEMALE          |POWER-Y 1M2F    |   $2.00|EACH    |   3
?               |13013|CABLE COMPUTER POWER Y SPLITTER IDE TO SATA 4P-MALE TO 2-15P SAT|POWER-Y-SATA    |   $4.00|EACH    |  11
?               |10486|CABLE COMPUTER PS/2 EXTENSION MINI DIN 6M/F 15'                 |PS2EXT15'       |   $4.50|EACH    |   3
???             | 9545|CABLE COMPUTER PS/2 MINI DIN 6M/M 10'                           |MINI6M-MINI6M   |   $3.00|EACH    |  19
?               |11325|CABLE COMPUTER PS/2 MINI DIN 6M/M 25'                           |PS/2-25MM       |   $5.00|EACH    |   4
CKB6MM06        | 9710|CABLE COMPUTER PS/2 MINI DIN 6M/M 6 FOOT                        |MD6MM           |   $2.00|EACH    |   4
S50-72-S        | 8188|CABLE COMPUTER RIBBON 50 SOCKET/SOCKET 6'                       |S50             |   $6.56|EACH    |   0
CRSMF1ZB        |11637|CABLE COMPUTER RS232 DB25M-DB25F 25 WIRES 100'                  |25100MF         |  $26.95|EACH    |   1
?               | 5960|CABLE COMPUTER RS232 DB25M-F 25 WIRES 10FT                      |DB25MF10        |   $6.00|EACH    |   3
CRM2550MF       | 9853|CABLE COMPUTER RS232 DB25M-F 50'                                |2550MF          |  $12.95|EACH    |   2
CRM2550MM       | 9849|CABLE COMPUTER RS232 DB25M-M 50'                                |2550            |  $12.95|EACH    |   1
G2LES3S06W6     |13115|CABLE COMPUTER SATA TO ESATA 6'                                 |SATA-ESATA-6'   |   $3.00|EACH    |  19
?               |14910|CABLE COMPUTER SATA3 6GPS W/1 RIGHT ANGLE CONN. LATCHING 24" BLA|SATA3-RA-24"    |   $3.00|EACH    |  14
?               |15243|CABLE COMPUTER SATA3 SERIAL ATA III 5"                          |SATA3-5"        |   $3.00|EACH    |   3
S-MD50M-MD50M-6 | 9285|CABLE COMPUTER SCSI 2/SCSI 2 6' MICRO DB50M/MICRO DB50M         |SCSI 2/SCSI 2   |  $14.90|EACH    |   3
S-MD68M-C50M-3  | 9292|CABLE COMPUTER SCSI 3' SCSI 1/SCSI 3 MICRO DB68M/CENT50M        |SCSI 1/SCSI 3   |  $14.88|EACH    |   2
S-MD68M-D50M-6  | 9295|CABLE COMPUTER SCSI 3/SCSI 2 6' MICRO DB68M / MICRO DB50M       |SCSI 2/SCSI 3   |  $15.00|EACH    |   0
2550            | 6238|CABLE COMPUTER SCSI DB25M/CENTRONICS 50  LENGTH 6 FOOT          |AA801           |   $6.38|EACH    |   2
D06-SD50-D25-06 | 9142|CABLE COMPUTER SCSI HALF PITCH 50M TO DB25M 6'                  |SCSI/2          |  $25.50|EACH    |   1
CFHS2           |10340|CABLE COMPUTER SCSI RIBBON 50 PIN 2 DEVICE 23"                  |2SCSI           |   $2.50|EACH    |   0
SCSI-2/3        | 9559|CABLE COMPUTER SCSI RIBBON 50 PIN 2/3 DEVICE SOCKETS            |SCSI-2/3        |   $3.43|EACH    |   0
CF7             | 8970|CABLE COMPUTER SCSI RIBBON 50 PIN 6 DEVICE SOCKETS              |6SCSI           |   $7.00|EACH    |  11
???             | 9284|CABLE COMPUTER SCSI-2 TO SCSI-2 HPDB50M-HPDB50M 3'              |SCSI2-SCSI2     |  $11.80|EACH    |   3
???             | 9546|CABLE COMPUTER SCSI-I TO SCSI-II 3' MICRO DB50-M/CENT.50-M (1 ME|SCSI-1/SCSI-II  |  $19.50|EACH    |   2
SCSI-I/SCSI-II  | 8841|CABLE COMPUTER SCSI-I TO SCSI-II 6' MICRO DB50-M/CENT.50-M      |SCSI-1/SCSI-II  |  $25.50|EACH    |   1
SMD68M-MD68M-6  | 9278|CABLE COMPUTER SCSI3 TO  SCSI3 HPDB68M-HPDB68M 6'               |SCSI/3          |  $29.95|EACH    |   1
???             | 9649|CABLE COMPUTER SCSI3 TO SCSI3 (HP68M-HP68M) 3' W/SCREW LOCKS    |SCSI3-SCSI3     |  $14.63|EACH    |   3
???             | 9277|CABLE COMPUTER SCSI3 TO SCSI3 (HP68M-HP68M) ONE METER W/QUICK CL|SCSI3-SCSI3     |  $29.95|EACH    |   1
CSCH603         |10245|CABLE COMPUTER SCSI3-SCSI3 HDB68M-HDB68M 3'                     |SCSI3-3         |  $13.93|EACH    |   2
CS50253HDB      | 9189|CABLE COMPUTER SCSII DB50HP TO DB 25M 3' COMPUTER GATE CS50253HD|DB25-CEN50HP    |  $19.50|EACH    |   1
??              |11458|CABLE COMPUTER SERIAL DB9FF STRAIGHT 6FT                        |CABLE-DB9FF-6   |   $6.95|EACH    |   3
?               |12650|CABLE COMPUTER SERIAL DB9MM 6'                                  |DB9MM-6'        |   $5.00|EACH    |   3
?               |11050|CABLE COMPUTER SVGA EXTENSION HDB15M-F 3 COAX WITH FERRITE 10'  |SVGAEXT-10'     |   $9.95|EACH    |   3
?               |14410|CABLE COMPUTER SVGA EXTENSION HDB15M-F 3 COAX WITH FERRITE 15'  |SVGAEXT-15'     |  $10.95|EACH    |   1
?               |12588|CABLE COMPUTER SVGA EXTENSION HDB15M-F 3 COAX WITH FERRITE 25'  |SVGAEXT-25'     |  $12.95|EACH    |   3
?               |12294|CABLE COMPUTER SVGA EXTENSION HDB15M-F 3 COAX WITH FERRITE 6'   |SVGAEXT-6'      |   $5.95|EACH    |  14
F3U13906        |12797|CABLE COMPUTER USB 2.0 TYPE A-4PIN MINI B 6'                    |USBA-MINIB4     |   $7.95|EACH    |   2
?               |10922|CABLE COMPUTER USB 2.0 TYPE A-B 15'                             |USBAB15         |   $5.00|EACH    |  14
USB2HAB1        |16167|CABLE COMPUTER USB 2.0 TYPE A-B M-M 1'                          |USBAB1'         |   $4.95|EACH    |   1
?               |12516|CABLE COMPUTER USB 2.0 TYPE A-B M-M 10'                         |USBAB10         |   $4.00|EACH    |   1
?               |12515|CABLE COMPUTER USB 2.0 TYPE A-B M-M 3'                          |USBAB3'         |   $2.50|EACH    |  13
?               |10038|CABLE COMPUTER USB 2.0 TYPE A-B M-M 6'                          |USBAB6'         |   $3.00|EACH    |   8
?               |11005|CABLE COMPUTER USB EXTENSION A-A M-F 10'                        |USBEXTA10       |   $4.00|EACH    |  18
?               |11455|CABLE COMPUTER USB EXTENSION A-A M-F 15'                        |USBEXT15        |   $5.00|EACH    |  15
?               |12995|CABLE COMPUTER USB EXTENSION A-A M-F 3'                         |USBEXT3         |   $2.50|EACH    |  13
?               |10466|CABLE COMPUTER USB EXTENSION A-A M-F 6'                         |USBEXT6         |   $3.50|EACH    |  17
?               |10163|CABLE COMPUTER USB SPECIAL (NOT A DATA TRANSFER) TYPE A-A M-M 6'|USBAA           |   $4.00|EACH    |  10
?               |12784|CABLE COMPUTER USB TYPE A TO MINI 4-PIN M-M 6'                  |USBA-MINI4      |   $5.00|EACH    |   4
?               |12919|CABLE COMPUTER USB TYPE A TO MINI 5-PIN M-M 3'                  |USBA-MINI5-3'   |   $4.00|EACH    |   2
?               |11342|CABLE COMPUTER USB TYPE A TO MINI 5-PIN M-M 6'                  |USBA-MINI-6'    |   $5.00|EACH    |   3
CUSBB06         | 9929|CABLE COMPUTER USB TYPE B-B 6'                                  |USB6            |   $8.00|EACH    |   0
?               |10735|CABLE COMPUTER VGA Y SPLITTER HD15F-HD15F-HD15M                 |VGASPLITTER     |   $4.95|EACH    |   1
ACV401          | 9813|CABLE COMPUTER VIDEO DB15M-5BNCM 6' MAC                         |ACV401          |  $35.95|EACH    |   0
F2E4141B10DD-RT |14007|CABLE COMPUTER VIDEO DVI-D M/M DUAL LINK 1-RIGHT ANGLE CONN. 10'|DVI-D-M/M1O-RA  |   $9.95|EACH    |   5
?               |12049|CABLE COMPUTER VIDEO DVI-D/DVI-D  6'                            |DVI-D/SINGLE6'  |   $8.95|EACH    |  12
P560-010        |12048|CABLE COMPUTER VIDEO DVI-D/DVI-D DUAL LINK 10FT                 |DVI-D/SINGLE3M  |  $14.95|EACH    |   5
?               |13406|CABLE COMPUTER VIDEO DVI-D/DVI-D M-M DUAL LINK 15FT             |DVIIMM15        |  $14.95|EACH    |   4
